CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMEN;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
87381111;Pont-Cardinet;N;O;340000;1;001+525;PARIS;PARIS;6057;2950fa66-dfbc-11e3-a2ff-01a464e0362d;649742.6749000028;6865525.881200001;2.314631488448549;48.88778335572669;48.88778335572669, 2.3146314884485486;48.88778335570479, 2.314631488448548;"{""coordinates"": [2.314631488448548, 48.88778335570479], ""type"": ""Point""}"
87478081;La Fresnais;N;O;441000;1;440+550;LA FRESNAIS;ILLE-ET-VILAINE;4672;e021c2c2-19bf-11e5-82ff-01fc64e0362d;343069.3147;6843555.987799998;-1.843170060832675;48.59366306337683;48.59366306337683, -1.8431700608326753;48.59366306335343, -1.8431700608326784;"{""coordinates"": [-1.843170060832678, 48.59366306335343], ""type"": ""Point""}"
87725002;Chalon-sur-Saône;O;O;830000;1;382+150;CHALON-SUR-SAONE;SAONE-ET-LOIRE;3561;d99fc420-6667-11e3-89ff-01f464e0362d;840567.0899000019;6632917.1543999985;4.842615253494189;46.781625751008704;46.781625751008704, 4.842615253494189;46.78162575099423, 4.8426152534941895;"{""coordinates"": [4.84261525349419, 46.78162575099423], ""type"": ""Point""}"
87696740;Arzembouy;O;N;754000;1;260+289;ARZEMBOUY;NIEVRE;8259;e54b9b8a-6667-11e3-a7ff-01f464e0362d;728810.1893000007;6683641.3451000005;3.380930533420509;47.25245295692108;47.25245295692108, 3.3809305334205093;47.252452956908, 3.3809305334205098;"{""coordinates"": [3.38093053342051, 47.252452956908], ""type"": ""Point""}"
87396358;Voivres;N;O;450000;1;223+068;VOIVRES-LES-LE-MANS;SARTHE;7321;d99c2b06-6667-11e3-89ff-01f464e0362d;482382.35610000044;6762902.501200002;0.085242272357547;47.93036225071098;47.93036225071098, 0.08524227235754653;47.930362250699886, 0.08524227235754374;"{""coordinates"": [0.085242272357544, 47.930362250699886], ""type"": ""Point""}"
87481424;Le Pallet;N;O;530000;1;018+261;LE PALLET;LOIRE-ATLANTIQUE;4976;c0e14e5c-f312-11e3-90ff-015864e0362d;370759.9570999965;6680568.843899999;-1.34663667047017;47.14381560186661;47.14381560186661, -1.3466366704701698;47.14381560185321, -1.3466366704701735;"{""coordinates"": [-1.346636670470174, 47.14381560185321], ""type"": ""Point""}"
87116699;Oulchy-Breny;O;O;072000;1;098+014;BRENY;AISNE;5891;d996c3ae-6667-11e3-89ff-01f464e0362d;725701.8999999985;6898700.164299998;3.352527882683758;49.1875213601501;49.1875213601501, 3.3525278826837575;49.1875213601297, 3.352527882683758;"{""coordinates"": [3.352527882683758, 49.1875213601297], ""type"": ""Point""}"
87696187;Mesves-Bulcy;N;O;750000;1;219+891;MESVES-SUR-LOIRE;NIEVRE;5472;d989f372-6667-11e3-89ff-01f464e0362d;700492.371299997;6682425.634199999;3.00650889658292;47.242133845059584;47.242133845059584, 3.00650889658292;47.24213384504647, 3.00650889658292;"{""coordinates"": [3.00650889658292, 47.24213384504647], ""type"": ""Point""}"
87581017;Bordeaux-Bastide;O;N;568000;1;579+350;BORDEAUX;GIRONDE;8158;e5408d20-6667-11e3-a7ff-01f464e0362d;420523.88880000263;6424038.827;-0.538969146326845;44.859147955141346;44.859147955141346, -0.5389691463268445;44.85914795512139, -0.5389691463268468;"{""coordinates"": [-0.538969146326847, 44.85914795512139], ""type"": ""Point""}"
87575464;Le Bouchet;O;N;573000;1;009+662;LA ROCHE-RIGAULT;VIENNE;8175;e18a1ac4-19bf-11e5-a6ff-01fc64e0362d;485121.33079999685;6655904.323100001;0.173178832579361;46.96872900737668;46.96872900737668, 0.17317883257936098;46.96872900736277, 0.17317883257935898;"{""coordinates"": [0.173178832579359, 46.96872900736277], ""type"": ""Point""}"
87342410;Cuinchy;O;O;289000;1;032+051;CUINCHY;PAS-DE-CALAIS;3900;c0e21650-f312-11e3-90ff-015864e0362d;681797.2735999972;7047239.414799999;2.74371760990485;50.52217060298634;50.52217060298634, 2.7437176099048504;50.52217060297218, 2.74371760990485;"{""coordinates"": [2.74371760990485, 50.52217060297218], ""type"": ""Point""}"
87474015;Dirinon Loperhet;O;O;470000;1;758+187;LOPERHET;FINISTERE;3962;d9ce0b94-6667-11e3-89ff-01f464e0362d;161423.77269999683;6835138.4739000015;-4.285756623569624;48.39276192472316;48.39276192472316, -4.285756623569624;48.3927619246987, -4.285756623569628;"{""coordinates"": [-4.285756623569628, 48.3927619246987], ""type"": ""Point""}"
87141523;Pont-St-Vincent;O;O;040000;1;013+751;PONT-SAINT-VINCENT;MEURTHE-ET-MOSELLE;6094;c0bf78f0-f312-11e3-90ff-015864e0362d;928764.3813000023;6838040.804099999;6.103442518555855;48.60210347594136;48.60210347594136, 6.103442518555855;48.60210347591801, 6.103442518555858;"{""coordinates"": [6.103442518555858, 48.60210347591801], ""type"": ""Point""}"
87317537;Eu;N;O;325000;3;179+393;EU;SEINE-MARITIME;4104;d9a1435e-6667-11e3-89ff-01f464e0362d;586514.3049999997;6996242.446400002;1.416800758468185;50.05433701803559;50.05433701803559, 1.4168007584681845;50.05433701801932, 1.4168007584681832;"{""coordinates"": [1.416800758468183, 50.05433701801932], ""type"": ""Point""}"
87286518;Seclin;O;O;272000;1;239+350;SECLIN;NORD;6799;e15d10b6-19bf-11e5-a6ff-01fc64e0362d;702481.7540000007;7050053.789000001;3.034959124045115;50.54769139704771;50.54769139704771, 3.0349591240451153;50.547691397033645, 3.0349591240451153;"{""coordinates"": [3.034959124045115, 50.547691397033645], ""type"": ""Point""}"
87144428;Pouxeux;N;O;060000;1;015+841;POUXEUX;VOSGES;6144;e1a440a0-19bf-11e5-a6ff-01fc64e0362d;966457.3660999984;6784218.2828;6.581041457042632;48.10394952481344;48.10394952481344, 6.581041457042632;48.103949524802864, 6.581041457042635;"{""coordinates"": [6.581041457042635, 48.103949524802864], ""type"": ""Point""}"
87722298;Le Sablon;N;O;750000;1;541+652;GRIGNY;RHONE;5005;d9c75cda-6667-11e3-89ff-01f464e0362d;840015.1903999969;6502475.676199999;4.796488261870416;45.607467980877495;45.607467980877495, 4.796488261870416;45.60746798085963, 4.796488261870417;"{""coordinates"": [4.796488261870417, 45.60746798085963], ""type"": ""Point""}"
87718296;St-Amour;N;O;880000;1;475+895;SAINT-AMOUR;JURA;6363;293d4e1c-dfbc-11e3-a2ff-01a464e0362d;879193.4980999976;6595218.489999998;5.334079345285624;46.43309508855478;46.43309508855478, 5.334079345285624;46.43309508853929, 5.334079345285626;"{""coordinates"": [5.334079345285626, 46.43309508853929], ""type"": ""Point""}"
87394007;Chartres;O;O;420000;1;087+137;CHARTRES;EURE-ET-LOIR;3627;299e8c68-dfbc-11e3-a2ff-01a464e0362d;587711.5011000037;6817568.182;1.481429053718457;48.44866971474912;48.44866971474912, 1.4814290537184571;48.448669714724964, 1.481429053718456;"{""coordinates"": [1.481429053718456, 48.448669714724964], ""type"": ""Point""}"
87672006;Pau;O;O;650000;1;215+735;PAU;PYRENEES-ATLANTIQUES;5945;d99603fa-6667-11e3-89ff-01f464e0362d;426452.5273000002;6249429.724800002;-0.369693311594972;43.29149855092316;43.29149855092316, -0.369693311594972;43.29149855089917, -0.36969331159497437;"{""coordinates"": [-0.369693311594974, 43.29149855089917], ""type"": ""Point""}"
87393223;St-Cyr;O;O;395000;1;021+448;SAINT-CYR-L'ECOLE;YVELINES;6418;d99c24c8-6667-11e3-89ff-01f464e0362d;631917.4155000001;6855819.1415;2.073118293820027;48.798855476988486;48.798855476988486, 2.0731182938200265;48.79885547696613, 2.0731182938200257;"{""coordinates"": [2.073118293820026, 48.79885547696613], ""type"": ""Point""}"
87214577;Molsheim;O;O;110000;1;018+912;MOLSHEIM;BAS-RHIN;5546;e1359e46-19bf-11e5-a6ff-01fc64e0362d;1032032.7431000024;6835823.311999999;7.500117588274114;48.53746862797946;48.53746862797946, 7.500117588274114;48.53746862795576, 7.50011758827412;"{""coordinates"": [7.50011758827412, 48.53746862795576], ""type"": ""Point""}"
87743807;Vaux-en-Bugey;O;N;889000;1;003+966;VAUX-EN-BUGEY;AIN;7117;e550848c-6667-11e3-a7ff-01f464e0362d;881481.1784999967;6539009.9103999995;5.342149851150576;45.92655897555944;45.92655897555944, 5.342149851150576;45.92655897554248, 5.342149851150578;"{""coordinates"": [5.342149851150578, 45.92655897554248], ""type"": ""Point""}"
87317107;Hesdigneul;N;O;311000;1;244+564;HESDIGNEUL-LES-BOULOGNE;PAS-DE-CALAIS;4447;c05b3966-f312-11e3-90ff-015864e0362d;605574.7432999983;7063472.193100002;1.666817540767514;50.66096776465705;50.66096776465705, 1.6668175407675139;50.660967764643495, 1.6668175407675125;"{""coordinates"": [1.666817540767513, 50.660967764643495], ""type"": ""Point""}"
87213462;Riedseltz;N;O;146000;1;052+329;RIEDSELTZ;BAS-RHIN;6251;2992fd42-dfbc-11e3-a2ff-01a464e0362d;1062980.491700001;6888158.820799999;7.963036748076364;48.99065848071727;48.99065848071727, 7.963036748076364;48.99065848069589, 7.963036748076368;"{""coordinates"": [7.963036748076368, 48.99065848069589], ""type"": ""Point""}"
87781062;Port-la-Nouvelle;O;O;677000;1;425+125;PORT-LA-NOUVELLE;AUDE;6122;e03fd834-19bf-11e5-82ff-01fc64e0362d;703158.3215000033;6213393.555300001;3.038711639289963;43.01986737903757;43.01986737903757, 3.0387116392899634;43.01986737901294, 3.038711639289964;"{""coordinates"": [3.038711639289964, 43.01986737901294], ""type"": ""Point""}"
87590331;Haluchère-Batignolles;N;O;519000;1;433+010;NANTES;LOIRE-ATLANTIQUE;152499;e048856a-19bf-11e5-82ff-01fc64e0362d;358119.6208000034;6692997.890999999;-1.522545375703279;47.24914745560844;47.24914745560844, -1.5225453757032792;47.24914745559534, -1.5225453757032823;"{""coordinates"": [-1.522545375703282, 47.24914745559534], ""type"": ""Point""}"
87765537;Cavaillon (MIN);O;N;925000;1;033+932;CAVAILLON;VAUCLUSE;9451;e5452efc-6667-11e3-a7ff-01f464e0362d;864639.1999000013;6305064.410500001;5.046659091199488;43.82538806376789;43.82538806376789, 5.046659091199488;43.82538806374518, 5.046659091199489;"{""coordinates"": [5.046659091199489, 43.82538806374518], ""type"": ""Point""}"
87393116;Bellevue;N;O;420000;1;008+475;MEUDON;HAUTS-DE-SEINE;3170;c106d8f6-f312-11e3-90ff-015864e0362d;643451.2182999998;6857917.7619;2.229850778453927;48.81884317835575;48.81884317835575, 2.229850778453927;48.81884317833351, 2.229850778453926;"{""coordinates"": [2.229850778453926, 48.81884317833351], ""type"": ""Point""}"
87722652;St-Clair-les-Roches;O;O;830000;1;554+215;SAINT-CLAIR-DU-RHONE;ISERE;6407;e015465e-19bf-11e5-82ff-01fc64e0362d;838331.9055000022;6484974.436900001;4.769865613059207;45.45025702124897;45.45025702124897, 4.769865613059207;45.45025702123065, 4.769865613059208;"{""coordinates"": [4.769865613059208, 45.45025702123065], ""type"": ""Point""}"
87641043;Lapeyrouse;N;O;707000;1;358+815;LAPEYROUSE;PUY-DE-DOME;4868;d9751804-6667-11e3-89ff-01f464e0362d;691816.7897000015;6569657.5284;2.893826665140213;46.22672641227878;46.22672641227878, 2.8938266651402134;46.226726412262686, 2.8938266651402134;"{""coordinates"": [2.893826665140213, 46.226726412262686], ""type"": ""Point""}"
87214692;Schirmeck-La Broque;O;O;110000;1;042+425;SCHIRMECK;BAS-RHIN;6795;d9e4d504-6667-11e3-89ff-01f464e0362d;1011426.8857000023;6828287.2522;7.215942084030169;48.48000390764602;48.48000390764602, 7.215942084030169;48.480003907622034, 7.215942084030173;"{""coordinates"": [7.215942084030173, 48.480003907622034], ""type"": ""Point""}"
